epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.359,1.58058,5.15213,1.87864,0.01589,0.17904,0.05021,0.04028,1.16545,4.06042,1.54548,8.42105e-05,8.42105e-05,8.42105e-05
2,61.2226,1.21186,4.43645,1.47633,0.20194,0.34604,0.18404,0.12572,1.12442,3.191,1.49052,0.000166187,0.000166187,0.000166187
3,87.3942,1.15467,3.85065,1.41569,0.26191,0.43071,0.32463,0.23971,1.03118,2.57725,1.47069,0.000244784,0.000244784,0.000244784
4,113.739,1.12659,3.47662,1.40156,0.38632,0.55397,0.51272,0.38044,0.96938,2.06816,1.38736,0.000240794,0.000240794,0.000240794
5,140.248,1.09273,3.10004,1.38845,0.7238,0.57666,0.65126,0.48625,0.9862,1.68064,1.3899,0.000235725,0.000235725,0.000235725
6,167.707,1.07524,2.82747,1.34516,0.76898,0.70198,0.75026,0.58347,0.92615,1.33519,1.34228,0.000230656,0.000230656,0.000230656
7,194.213,1.02694,2.52476,1.32587,0.71671,0.7085,0.79557,0.61138,0.91991,1.27912,1.31496,0.000225587,0.000225587,0.000225587
8,220.56,0.99162,2.26959,1.29544,0.89608,0.7757,0.84322,0.65469,0.88108,1.1054,1.31031,0.000220518,0.000220518,0.000220518
9,247.566,0.97071,2.1172,1.26814,0.86507,0.77227,0.8784,0.69567,0.84954,1.01828,1.26207,0.00021545,0.00021545,0.00021545
10,275.213,0.92962,1.99448,1.2378,0.9011,0.72383,0.85664,0.68656,0.81626,1.05315,1.25325,0.000210381,0.000210381,0.000210381
11,301.756,0.92381,1.90555,1.24071,0.91978,0.79131,0.88226,0.70338,0.85135,0.95234,1.25388,0.000205312,0.000205312,0.000205312
12,326.883,0.92387,1.79727,1.2144,0.90938,0.81744,0.93491,0.73663,0.83789,0.86956,1.24194,0.000200243,0.000200243,0.000200243
13,352.87,0.90278,1.72429,1.22831,0.87895,0.90495,0.93302,0.75171,0.7751,0.77871,1.20978,0.000195174,0.000195174,0.000195174
14,378.253,0.86515,1.59387,1.19529,0.93657,0.84487,0.94291,0.76114,0.77145,0.74675,1.19033,0.000190106,0.000190106,0.000190106
15,403.898,0.84915,1.54845,1.1771,0.9547,0.88402,0.94453,0.76822,0.75383,0.75369,1.1971,0.000185037,0.000185037,0.000185037
16,429.642,0.86984,1.5619,1.19899,0.89924,0.91284,0.94247,0.76252,0.7565,0.73091,1.18638,0.000179968,0.000179968,0.000179968
17,455.838,0.83687,1.4548,1.16743,0.94854,0.88738,0.94407,0.77368,0.74717,0.72457,1.19711,0.000174899,0.000174899,0.000174899
18,481.43,0.84487,1.4461,1.19142,0.94858,0.93226,0.95338,0.78716,0.74118,0.72184,1.16478,0.00016983,0.00016983,0.00016983
19,507.403,0.83475,1.4262,1.18083,0.96284,0.92583,0.96619,0.80094,0.71618,0.66154,1.14796,0.000164762,0.000164762,0.000164762
20,533.624,0.79822,1.32764,1.15489,0.94511,0.9074,0.96749,0.78772,0.75331,0.63672,1.17399,0.000159693,0.000159693,0.000159693
21,559.057,0.81726,1.33806,1.17402,0.96046,0.92386,0.96573,0.79239,0.72334,0.61943,1.16181,0.000154624,0.000154624,0.000154624
22,585.227,0.81018,1.30967,1.17067,0.97336,0.91376,0.9674,0.79662,0.72017,0.60032,1.161,0.000149555,0.000149555,0.000149555
23,612.887,0.80142,1.23713,1.16112,0.95428,0.93285,0.97144,0.79993,0.73093,0.60422,1.17033,0.000144486,0.000144486,0.000144486
24,639.192,0.77088,1.20006,1.13265,0.97068,0.9057,0.96746,0.8019,0.71451,0.58534,1.14858,0.000139418,0.000139418,0.000139418
25,664.663,0.7746,1.19297,1.14374,0.97561,0.91225,0.97286,0.8086,0.71173,0.57327,1.14772,0.000134349,0.000134349,0.000134349
26,691.231,0.75818,1.14414,1.12592,0.97107,0.92261,0.97547,0.80402,0.70729,0.54766,1.15063,0.00012928,0.00012928,0.00012928
27,716.971,0.75171,1.12058,1.12753,0.95922,0.93853,0.97576,0.80913,0.71212,0.57307,1.14322,0.000124211,0.000124211,0.000124211
28,743.024,0.7605,1.13445,1.13238,0.97203,0.94478,0.97889,0.81187,0.69903,0.54195,1.14029,0.000119142,0.000119142,0.000119142
29,768.999,0.75007,1.10684,1.12915,0.97407,0.93349,0.97825,0.81468,0.70223,0.5391,1.15229,0.000114074,0.000114074,0.000114074
30,794.652,0.75208,1.08165,1.11545,0.9714,0.93037,0.97736,0.80674,0.70556,0.52888,1.14342,0.000109005,0.000109005,0.000109005
31,820.496,0.75557,1.0365,1.11963,0.9495,0.94754,0.98067,0.82395,0.69714,0.52586,1.13614,0.000103936,0.000103936,0.000103936
